,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
623.12125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58787319722441,5.58787319722441,NA,NA,NA,NA,NA,NA
643.147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5882058671982
707.126683,NA,NA,NA,4.62435782590223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661.121089,NA,4.34824583871582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657.126432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85601630238796
641.1317211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98621036156817,NA,NA,NA,NA,NA,NA,NA,NA,5.98621036156817,5.98621036156817,NA,5.98621036156817,NA,5.98621036156817,NA,5.98621036156817
647.2000615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59352365531815,NA,5.59352365531815,NA,5.59352365531815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
663.1734195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62447547556971
661.1578953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3166550482149
731.1843443,6.16310522641597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
759.1792065,4.973978042702,4.973978042702,NA,4.973978042702,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.973978042702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701.210052,NA,NA,NA,NA,NA,NA,5.79415109298214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572.275635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37531298013612,NA,NA,NA,NA,NA,NA,NA
320.1942573,NA,NA,NA,NA,NA,NA,NA,NA,8.24669187445708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
