Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
653.2457689,27,45,15,1,0,0,1,0,CHNOP,NA,654.2530989,0.555727322,NA,C27H45O15NP,0,0,6.5,-8.5,-10.5,78.2444444444444,652.51634883862,0.483651161380294,-0.62962962962963,0.555555555555556,1.66666666666667,0.037037037037037,0.037037037037037,1,Amino Sugar,Amino Sugar,Lipid
653.252841,0,0,0,0,0,0,0,0,,NA,654.260171,0,NA,NA,NA,NA,NA,NA,NA,NA,652.52341304185,0.476586958150392,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.2670675,24,49,17,1,0,0,1,0,CHNOP,NA,654.2743975,0.814345601,NA,C24H49O17NP,0,0,1.5,-15.5,-17.5,80.4875,652.537623656413,0.46237634358738,-0.708333333333333,0.708333333333333,2.04166666666667,0.0416666666666667,0.0416666666666667,1,Carbohydrate,Carbohydrate,Other
653.278223,0,0,0,0,0,0,0,0,,NA,654.285553,0,NA,NA,NA,NA,NA,NA,NA,NA,652.548766700082,0.451233299918272,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.2820553,32,46,14,0,0,0,0,0,CHO,NA,654.2893853,0.879614688,NA,C32H46O14,0,0.12,10,-4,-4,76.33125,652.552594720901,0.447405279098689,-0.5625,0.4375,1.4375,0,0,NA,Lignin,Lignin,Other
653.30318,29,50,16,0,0,0,0,0,CHO,NA,654.31051,0.872522352,NA,C29H50O16,0,0,5,-11,-11,77.9896551724138,652.573695832873,0.426304167127455,-0.620689655172414,0.551724137931034,1.72413793103448,0,0,NA,Amino Sugar,Amino Sugar,Other
653.3184659,33,50,13,0,0,0,0,0,CHO,NA,654.3257959,0.917927655,NA,C33H50O13,0,0.0943396226415094,9,-4,-4,81.0272727272727,652.5889646645,0.41103533550006,-0.727272727272728,0.393939393939394,1.51515151515152,0,0,NA,Protein,Protein,Other
653.3396475,30,54,15,0,0,0,0,0,CHO,NA,654.3469775,0.997780577,NA,C30H54O15,0,0,4,-11,-11,83.1,652.610122612936,0.389877387063848,-0.8,0.5,1.8,0,0,NA,Protein,Protein,Other
653.3547995,34,54,12,0,0,0,0,0,CHO,NA,654.3621295,0.838618985,NA,C34H54O12,0,0.0714285714285714,8,-4,-4,85.4470588235294,652.625257694078,0.374742305922382,-0.882352941176471,0.352941176470588,1.58823529411765,0,0,NA,Protein,Protein,Other
653.391336,0,0,0,0,0,0,0,0,,NA,654.398666,0,NA,NA,NA,NA,NA,NA,NA,NA,652.661753397095,0.338246602904633,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.427637,36,62,10,0,0,0,0,0,CHO,NA,654.434967,0.940121876,NA,C36H62O10,0,0.032258064516129,6,-4,-4,93.55,652.698013863074,0.301986136925507,-1.16666666666667,0.277777777777778,1.72222222222222,0,0,NA,Lipid,Lipid,Other
653.6818775,0,0,0,0,0,0,0,0,,NA,654.6892075,0,NA,NA,NA,NA,NA,NA,NA,NA,652.951970475861,0.0480295241391104,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.6880268,0,0,0,0,0,0,0,0,,NA,654.6953568,0,NA,NA,NA,NA,NA,NA,NA,NA,652.958112909498,0.0418870905024278,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.867345,0,0,0,0,0,0,0,0,,NA,654.874675,0,NA,NA,NA,NA,NA,NA,NA,NA,653.137230881194,0.862769118806455,NA,NA,NA,NA,NA,NA,NA,NA,NA
654.082504,0,0,0,0,0,0,0,0,,NA,655.089834,0,NA,NA,NA,NA,NA,NA,NA,NA,653.352149632732,0.64785036726812,NA,NA,NA,NA,NA,NA,NA,NA,NA
654.194219,0,0,0,0,0,0,0,0,,NA,655.201549,0,NA,NA,NA,NA,NA,NA,NA,NA,653.463739890765,0.536260109235059,NA,NA,NA,NA,NA,NA,NA,NA,NA
654.2185883,0,0,0,0,0,0,0,0,,NA,655.2259183,0,NA,NA,NA,NA,NA,NA,NA,NA,653.488081979787,0.511918020213216,NA,NA,NA,NA,NA,NA,NA,NA,NA
654.696258,0,0,0,0,0,0,0,0,,NA,655.703588,0,NA,NA,NA,NA,NA,NA,NA,NA,653.965218309532,0.0347816904675256,NA,NA,NA,NA,NA,NA,NA,NA,NA
654.864364,0,0,0,0,0,0,0,0,,NA,655.871694,0,NA,NA,NA,NA,NA,NA,NA,NA,654.133136600871,0.866863399128874,NA,NA,NA,NA,NA,NA,NA,NA,NA
655.071253,0,0,0,0,0,0,0,0,,NA,656.078583,0,NA,NA,NA,NA,NA,NA,NA,NA,654.339794586765,0.660205413234621,NA,NA,NA,NA,NA,NA,NA,NA,NA
655.094854,26,27,17,1,0,0,1,0,CHNOP,NA,656.102184,0.716366119,NA,C26H27O17NP,0,0.258064516129032,14.5,-2.5,-4.5,54.8192307692308,654.363369233678,0.6366307663219,0.192307692307693,0.653846153846154,1.03846153846154,0.0384615384615385,0.0384615384615385,1,Tannin,Tannin,Phytochemical
655.1007379,0,0,0,0,0,0,0,0,,NA,656.1080679,0,NA,NA,NA,NA,NA,NA,NA,NA,654.369246563663,0.630753436337272,NA,NA,NA,NA,NA,NA,NA,NA,NA
655.110688,22,28,21,2,0,0,0,0,CHNO,NA,656.118018,-0.749126923,NA,C22H28O21N2,0,0,10,-11,-13,34.3909090909091,654.379185553292,0.620814446707868,0.909090909090909,0.954545454545455,1.27272727272727,0.0909090909090909,0,NA,Tannin,Tannin,Other
