,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
20120700_S1S_11,NA,NA,NA,-0.454283655564976,NA,NA,-0.454283655564976,NA,NA,-0.454283655564976,-0.454283655564976,-0.454283655564976,-0.454283655564976,NA,NA,-0.454283655564976,-0.454283655564976,NA,NA,NA,NA,-0.454283655564976
20160700_E21_3,-0.518986464611665,NA,NA,-0.518986464611665,NA,NA,-0.518986464611665,NA,NA,-0.518986464611665,-0.518986464611665,-0.518986464611665,-0.518986464611665,NA,NA,-0.518986464611665,-0.518986464611665,NA,NA,NA,NA,NA
20140700_S11_5,-11.667206993015,-12.0139897056989,-11.8627814124001,-11.5423573101338,-12.1085112223859,-11.7099350401986,-11.8598890870275,-11.6335092898908,-11.8483949447116,-11.9601397175376,-11.856981347583,-11.2362144369458,-11.5476697051559,-11.8240991827462,-11.6995878287595,-12.0567814591126,-11.5439044681562,-11.5912995743919,-12.3974209949663,-11.4917501389966,-11.8347076339028,-11.5068156171986
20170700_E11_3,-0.755851800873504,-0.755851800873504,NA,-0.755851800873504,-0.755851800873504,NA,NA,-0.755851800873504,NA,-0.755851800873504,-0.755851800873504,-0.755851800873504,-0.755851800873504,-0.755851800873504,NA,NA,-0.755851800873504,-0.755851800873504,-0.755851800873504,NA,-0.755851800873504,NA
20120600_S1S_4,-11.576994072298,-12.026840532764,-12.1619126117183,-11.7913978079318,-11.7909880517064,-11.4234533877227,-11.8949155834744,-11.5614972702938,-11.7139753361746,-11.457821079054,-12.1221052587126,-12.0829082610127,-11.8863950794142,-11.8731132611296,-11.4683899889607,-11.8972782128578,-11.1738781967,-11.8102195864777,-11.5124127365958,-11.9991840794569,-11.6382938802792,-11.5716423423124
20170700_S34_13,NA,NA,NA,NA,-0.560662500136752,-0.560662500136752,NA,NA,NA,NA,NA,-0.560662500136752,NA,NA,NA,NA,NA,-0.560662500136752,-0.560662500136752,NA,NA,NA
20120600_S2D_17,NA,NA,-0.440789337238013,-0.440789337238013,-0.440789337238013,-0.440789337238013,NA,-0.440789337238013,-0.440789337238013,-0.440789337238013,-0.440789337238013,-0.440789337238013,NA,NA,-0.440789337238013,NA,-0.440789337238013,-0.440789337238013,-0.440789337238013,-0.440789337238013,-0.440789337238013,NA
20170700_S34_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582327282356639,NA,NA,NA,NA,NA,NA,0.582327282356639,NA,NA,NA
20140700_S11_7,0.612985205422656,0.612985205422656,NA,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,0.612985205422656,NA,0.612985205422656,0.612985205422656
20111000_S3S_8,NA,NA,NA,-0.11046455668033,NA,NA,-0.11046455668033,NA,NA,-0.11046455668033,NA,-0.11046455668033,-0.11046455668033,NA,NA,-0.11046455668033,-0.11046455668033,NA,NA,NA,NA,NA
20120600_S2M_11,-0.116375114191323,-0.116375114191323,NA,-0.116375114191324,-0.116375114191323,NA,NA,NA,NA,-0.116375114191324,NA,-0.116375114191323,-0.116375114191323,-0.116375114191323,-0.116375114191323,NA,-0.116375114191324,-0.116375114191323,NA,NA,NA,NA
